ENEMY																											
1F				幽谷響子	1	2	ゆっくり霊夢	1	3																		
2F	リリーホワイト	1	3	幽谷響子	1	3	ゆっくり霊夢	1	3				リグルナイトバグ	1	3												
3F				幽谷響子	1	3							リグルナイトバグ	1	3	わかさぎ姫	1	3									
4F							チルノ	1	3							わかさぎ姫	1	1	大妖精	1	1						
5F				鍵山雛	1	3	幽谷響子	2	3	十六夜咲夜	1	1				二ッ岩マミゾウ	1	3									
6F				鍵山雛	1	5	幽谷響子	2	5	十六夜咲夜	1	1				二ッ岩マミゾウ	1	5	大妖精	1	2						
7F	東風谷早苗	1	3	鍵山雛	1	3	ルーミア	1	1				宮古芳香	1	3	二ッ岩マミゾウ	1	5									
8F	東風谷早苗	1	3	鍵山雛	1	3	ルーミア	1	1	多々良小傘	1	1	宮古芳香	1	3	メディスン	2	1	八雲藍	1	3						
9F	黒谷ヤマメ	1	3				橙	2	3	多々良小傘	1	3	紅美鈴	1	3	メディスン	2	2	八雲藍	1	3	藤原妹紅	1	3	封獣ぬえ	1	1
10F	黒谷ヤマメ	1	3	物部布都	1	1	橙	2	3	多々良小傘	1	3	紅美鈴	1	3	メディスン	2	3	姫海棠はたて	1	1	藤原妹紅	1	3	封獣ぬえ	1	1
11F				多々良小傘	2	2				多々良小傘	1	3	パチュリー	1	3	大妖精	2	3	姫海棠はたて	1	1	リリーホワイト	2	3	封獣ぬえ	1	1
12F	村紗水蜜	2	3				二ッ岩マミゾウ	2	3	鍵山雛	2	3	パチュリー	1	3	大妖精	2	3	姫海棠はたて	1	1	リリーホワイト	2	3	封獣ぬえ	1	1
13F	村紗水蜜	2	3	古明地こいし	2	1	二ッ岩マミゾウ	2	3	鍵山雛	2	3	小悪魔	2	3	大妖精	3	3	姫海棠はたて	1	1	チルノ	2	3	封獣ぬえ	1	1
14F	村紗水蜜	2	3	古明地こいし	2	1	霍青娥	2	2	黒谷ヤマメ	2	2	小悪魔	2	3	大妖精	3	3	姫海棠はたて	1	1	チルノ	2	3	封獣ぬえ	1	1
15F	村紗水蜜	3	2	古明地こいし	2	1	霍青娥	2	2	黒谷ヤマメ	2	2	パチュリー	2	3				姫海棠はたて	2	1				封獣ぬえ	2	1
16F	村紗水蜜	3	2	古明地こいし	2	1	霍青娥	2	2	黒谷ヤマメ	2	2	パチュリー	2	3				姫海棠はたて	2	1				封獣ぬえ	2	1
ITEM																											
category.spellcard	240																										
チルノのカード	-																										
因幡てゐのカード	-																										
射命丸文のカード	-																										
博麗霊夢のカード	-																										
霧雨魔理沙のカード	-																										
少名針妙丸のカード	-																										
比那名居天子のカード	-																										
プリズムリバー三姉妹のカード	S																										
レミリアのカード	S																										
犬走椛のカード	A																										
八雲紫のカード	S																										
八雲藍のカード	S																										
寅丸星のカード	A																										
永江衣玖のカード	-																										
姫海棠はたてのカード	-																										
宮古芳香のカード	-																										
今泉影狼のカード	-																										
魂魄妖夢のカード	B																										
東風谷早苗のカード	B																										
秦こころのカード	-																										
黒谷ヤマメのカード	A																										
小野塚小町のカード	A																										
リグルのカード	S																										
ルーミアのカード	B																										
一輪雲山のカード	B																										
河城にとりのカード	B																										
古明地こいしのカード	B																										
古明地さとりのカード	B																										
四季映姫・ヤマザナドゥのカード	B																										
上白沢慧音のカード	B																										
星熊勇儀のカード	B																										
聖白蓮のカード	B																										
堀川雷鼓のカード	-																										
風見幽香のカード	A																										
伊吹萃香のカード	-																										
霍青娥のカード	-																										
朱鷺子のカード	-																										
紅美鈴のカード	C																										
鍵山雛のカード	A																										
アリスのカード	C																										
イナバのカード	C																										
キスメのカード	C																										
わかさぎ姫のカード	-																										
蘇我屠自古のカード	-																										
八坂神奈子のカード	C																										
蓬莱山輝夜のカード	C																										
物部布都のカード	-																										
パチュリーのカード	C																										
フランドールのカード	C																										
十六夜咲夜のカード	C																										
西行寺幽々子のカード	C																										
藤原妹紅のカード	B																										
二ッ岩マミゾウのカード	-																										
八意永琳のカード	C																										
封獣ぬえのカード	A																										
パルスィのカード	D																										
九十九姉妹のカード	-																										
橙のカード	D																										
赤蛮奇のカード	-																										
洩矢諏訪子のカード	D																										
鬼人正邪のカード	-																										
ミスティアのカード	D																										
レティのカード	D																										
ナズーリンのカード	D																										
秋姉妹のカード	D																										
豊聡耳神子のカード	-																										
幽谷響子のカード	-																										
霊烏路空のカード	D																										
火焔猫燐のカード	D																										
メディスンメランコリーのカード	D																										
リリーホワイトのカード	-																										
小悪魔のカード	-																										
村紗水蜜のカード	D																										
多々良小傘のカード	D																										
きもけーねのカード	-																										
みすちーのカード	-																										
ゆっくりのカード	-																										
大妖精のカード	-																										
Exルーミアのカード	-																										
魅魔のカード	-																										
category.grass	255																										
超不幸の草	-																										
鳳凰の種	-																										
天使の草	-																										
しあわせ草	B																										
金縛り草	B																										
混乱草	B																										
睡眠草	B																										
灯草	B																										
毒草	B																										
姉切草	-																										
アイスの種	C																										
高飛び草	C																										
すばやさ草	C																										
ちからの草	C																										
ドラゴン草	C																										
胃拡張の種	C																										
胃縮小の種	C																										
感電草	C																										
妹切草	-																										
毒消し草	C																										
命の草	C																										
不幸の草	C																										
くちなし草	-																										
苦無草	C																										
氷結草	C																										
category.food	90																										
ナツメおにぎり	-																										
巨大なおにぎり	C																										
腐ったおにぎり	B																										
大きなおにぎり	A																										
小さなおにぎり	A																										
スモールおにぎり	-																										
奇跡のおにぎり	-																										
category.ring	40																										
透視のリボン	S																										
フランの掘削リボン	-																										
慧音の識別リボン	-																										
焼き芋のリボン	A																										
復活のリボン	-																										
橙のぶっとびリボン	S																										
こいしのお忍びリボン	S																										
流行病のリボン	A																										
レミリアの超回復リボン	S																										
ルーミアのリボン	A																										
しあわせのリボン	-																										
空の融合リボン	B																										
雛の御守リボン	B																										
閻魔の改心リボン	B																										
メディスンの衰退リボン	B																										
大遠投のリボン	B																										
リリーのホワイトリボン	B																										
吸収のリボン	-																										
探知のリボン	-																										
萃香の頑強リボン	-																										
罠避けのリボン	-																										
category.arrow	60																										
大砲の弾	-																										
毒ナイフ	-																										
ミニ八卦炉	B																										
鉄の矢	C																										
category.scrool	120																										
慧音の歴史書	-																										
封書モンスターハウス	-																										
八咫烏の書	-																										
ダンジョン攻略本	A																										
バクスイの書	A																										
混乱の書	A																										
グリモワール	B																										
いかづちの書	B																										
電光石火の書	B																										
氷の書	B																										
解凍の書	B																										
メッキの書	B																										
天邪鬼の書	B																										
ワイルドカード	B																										
おにぎりの書	-																										
おはらいの書	C																										
パワーアップの書	C																										
識別の書	C																										
撒き餌の書	C																										
自爆の書	C																										
大部屋の書	C																										
敵倍速の書	C																										
破裂の書	C																										
明かりの書	C																										
罠師の書	-																										
人を殺せる書	-																										
切れ端	-																										
幻想郷縁起	-																										
category.staff	100																										
しあわせの杖	-																										
封印の杖	-																										
引き寄せの杖	C																										
いかづちの杖	B																										
氷の杖	-																										
無意識の杖	-																										
不幸の杖	-																										
金縛りの杖	B																										
倍速の杖	-																										
イカリの杖	-																										
悪魔の杖	C																										
一時しのぎの杖	C																										
影縛りの杖	C																										
回復の杖	C																										
場所替えの杖	C																										
吹き飛ばしの杖	C																										
鈍足の杖	C																										
ハイテンションの杖	-																										
category.pot	30																										
印の瓶	-																										
合成の瓶	-																										
変化の瓶	A																										
お祓いの瓶	D																										
識別の瓶	D																										
かき氷器	-																										
分裂の瓶	-																										
優勝者の瓶	-																										
category.disc	0																										
Disc	C																										
TRAP																											
デロデロの罠	70																										
ねむりの罠	100																										
バネの罠	100																										
ハラヘリの罠	100																										
ワナの罠	30																										
回転盤の罠	100																										
丸太の罠	100																										
錆の罠	100																										
呪いの罠	100																										
召喚の罠	70																										
装備外しの罠	100																										
地雷の罠	100																										
毒の矢の罠	100																										
鈍足の罠	100																										
氷の罠	50																										
影縫いの罠	100																										
落とし穴の罠	30																										
