ENEMY																								
1F				リリーホワイト	1	5	幽谷響子	1	5	リグルナイトバグ	1	5	パルスィ	1	5									
2F	永江衣玖	1	1	鍵山雛	1	5	幽谷響子	2	5	二ッ岩マミゾウ	1	5	橙	1	5									
3F							ルーミア	1	5	二ッ岩マミゾウ	1	5	物部布都	1	5	犬走椛	1	5	霍青娥	1	5			
4F				堀川雷鼓	1	3	ルーミア	1	5	二ッ岩マミゾウ	1	5	物部布都	1	2	西行寺幽々子	1	5						
5F	少名針妙丸	1	1	黒谷ヤマメ	1	5	ルーミア	1	5	紅美鈴	1	5												
6F	少名針妙丸	1	1	黒谷ヤマメ	1	5	ミスティア	1	5	宮古芳香	1	5	多々良小傘	1	5	アリス	1	5	メディスン	1	5			
7F	少名針妙丸	1	1	村紗水蜜	1	5	ミスティア	1	5	宮古芳香	1	5	多々良小傘	1	5	アリス	1	5	メディスン	1	3			
8F	少名針妙丸	1	1	村紗水蜜	1	5				宮古芳香	1	5				西行寺幽々子	1	5	霍青娥	1	5			
9F	永江衣玖	1	1	八坂神奈子	1	5	因幡てゐ	2	5	寅丸星	1	5	フランドール	1	5	封獣ぬえ	1	5	八意永琳	1	5	赤蛮奇_体	1	5
10F	永江衣玖	1	1	霊烏路空	1	5	因幡てゐ	2	5	寅丸星	1	5	藤原妹紅	2	5	封獣ぬえ	1	5	八意永琳	1	5	赤蛮奇_体	1	5
11F				霊烏路空	1	5				パチュリー	1	5	藤原妹紅	2	5	伊吹萃香	1	5	メディスン	2	3			
12F	聖白蓮	1	1	洩矢諏訪子	1	7	魂魄妖夢	1	5	宮古芳香	2	5				伊吹萃香	1	5	メディスン	2	5	上白沢慧音	1	5
13F	聖白蓮	1	3	洩矢諏訪子	1	7	犬走椛	2	5	宮古芳香	2	5	西行寺幽々子	2	5	紅美鈴	2	5	メディスン	2	5	上白沢慧音	1	5
14F	永江衣玖	2	1				犬走椛	2	5				西行寺幽々子	2	5	紅美鈴	2	5						
15F	永江衣玖	2	3	蘇我屠自古	1	5	永江衣玖	1	2	パチュリー	2	5				堀川雷鼓	1	3	堀川雷鼓	2	3			
16F	秦こころ	1	5	村紗水蜜	2	5	寅丸星	2	5	今泉影狼	1	5				鍵山雛	2	5						
17F				黒谷ヤマメ	2	5	霊烏路空	2	5	星熊勇儀	1	5	八雲紫	1	5	古明地さとり	2	3	パルスィ	1	5			
18F				黒谷ヤマメ	2	5	霊烏路空	2	5	星熊勇儀	1	5	八雲紫	1	5	古明地さとり	2	3	パルスィ	1	5			
19F	古明地こいし	2	3	ナズーリン	1	5				星熊勇儀	1	5	東風谷早苗	2	5	射命丸文	2	5	ミスティア	2	5	八意永琳	2	3
20F	古明地こいし	2	3	ナズーリン	1	5				星熊勇儀	1	5	東風谷早苗	2	5	射命丸文	2	5	ミスティア	2	5	八意永琳	2	3
21F	古明地こいし	2	1	鈴仙・優曇華院・イナバ	2	5	小悪魔	2	5	ゆっくり霊夢	3	5	霧雨魔理沙	1	5	赤蛮奇_体	2	5	博麗霊夢	1	5	上白沢慧音	2	5
22F	古明地こいし	2	1	鈴仙・優曇華院・イナバ	2	5	小悪魔	2	5	ゆっくり霊夢	3	5	霧雨魔理沙	1	5	赤蛮奇_体	2	5	博麗霊夢	1	5	上白沢慧音	2	5
23F	豊聡耳神子	1	5	蘇我屠自古	2	5	物部布都	2	5	ナズーリン	2	5	伊吹萃香	2	5	赤蛮奇_体	2	5	博麗霊夢	1	5	多々良小傘	2	5
24F	豊聡耳神子	1	5	蘇我屠自古	2	5	物部布都	2	5	ナズーリン	2	5	伊吹萃香	2	5	星熊勇儀	2	5	博麗霊夢	1	5	多々良小傘	2	5
25F	豊聡耳神子	1	5	蘇我屠自古	2	5	物部布都	2	5	ナズーリン	2	5	伊吹萃香	2	5	星熊勇儀	2	5	フランドール	2	5	多々良小傘	2	5
26F				蘇我屠自古	2	5										星熊勇儀	2	5	フランドール	2	5	多々良小傘	2	5
ITEM																								
category.spellcard	60																							
チルノのカード	-																							
因幡てゐのカード	-																							
射命丸文のカード	-																							
博麗霊夢のカード	-																							
霧雨魔理沙のカード	-																							
少名針妙丸のカード	S																							
比那名居天子のカード	A																							
プリズムリバー三姉妹のカード	-																							
レミリアのカード	-																							
犬走椛のカード	-																							
八雲紫のカード	-																							
八雲藍のカード	-																							
寅丸星のカード	-																							
永江衣玖のカード	A																							
姫海棠はたてのカード	A																							
宮古芳香のカード	B																							
今泉影狼のカード	B																							
魂魄妖夢のカード	-																							
東風谷早苗のカード	-																							
秦こころのカード	B																							
黒谷ヤマメのカード	-																							
小野塚小町のカード	-																							
リグルのカード	-																							
ルーミアのカード	-																							
一輪雲山のカード	-																							
河城にとりのカード	-																							
古明地こいしのカード	-																							
古明地さとりのカード	-																							
四季映姫・ヤマザナドゥのカード	-																							
上白沢慧音のカード	-																							
星熊勇儀のカード	-																							
聖白蓮のカード	-																							
堀川雷鼓のカード	B																							
風見幽香のカード	-																							
伊吹萃香のカード	B																							
霍青娥のカード	B																							
朱鷺子のカード	C																							
紅美鈴のカード	-																							
鍵山雛のカード	-																							
アリスのカード	-																							
イナバのカード	-																							
キスメのカード	-																							
わかさぎ姫のカード	C																							
蘇我屠自古のカード	C																							
八坂神奈子のカード	-																							
蓬莱山輝夜のカード	-																							
物部布都のカード	C																							
パチュリーのカード	-																							
フランドールのカード	-																							
十六夜咲夜のカード	-																							
西行寺幽々子のカード	-																							
藤原妹紅のカード	-																							
二ッ岩マミゾウのカード	C																							
八意永琳のカード	-																							
封獣ぬえのカード	-																							
パルスィのカード	-																							
九十九姉妹のカード	D																							
橙のカード	-																							
赤蛮奇のカード	D																							
洩矢諏訪子のカード	-																							
鬼人正邪のカード	D																							
ミスティアのカード	-																							
レティのカード	-																							
ナズーリンのカード	-																							
秋姉妹のカード	-																							
豊聡耳神子のカード	D																							
幽谷響子のカード	D																							
霊烏路空のカード	-																							
火焔猫燐のカード	-																							
メディスンメランコリーのカード	-																							
リリーホワイトのカード	D																							
小悪魔のカード	D																							
村紗水蜜のカード	-																							
多々良小傘のカード	-																							
きもけーねのカード	-																							
みすちーのカード	-																							
ゆっくりのカード	-																							
大妖精のカード	-																							
Exルーミアのカード	-																							
魅魔のカード	-																							
category.grass	255																							
超不幸の草	S																							
鳳凰の種	A																							
天使の草	A																							
しあわせ草	B																							
金縛り草	B																							
混乱草	B																							
睡眠草	B																							
灯草	B																							
毒草	B																							
姉切草	B																							
アイスの種	C																							
高飛び草	C																							
すばやさ草	C																							
ちからの草	C																							
ドラゴン草	C																							
胃拡張の種	C																							
胃縮小の種	C																							
感電草	C																							
妹切草	C																							
毒消し草	C																							
命の草	C																							
不幸の草	C																							
くちなし草	C																							
苦無草	C																							
氷結草	C																							
category.food	90																							
ナツメおにぎり	-																							
巨大なおにぎり	B																							
腐ったおにぎり	B																							
大きなおにぎり	C																							
小さなおにぎり	C																							
スモールおにぎり	-																							
奇跡のおにぎり	-																							
category.ring	20																							
透視のリボン	S																							
フランの掘削リボン	S																							
慧音の識別リボン	-																							
焼き芋のリボン	S																							
復活のリボン	A																							
橙のぶっとびリボン	A																							
こいしのお忍びリボン	A																							
流行病のリボン	A																							
レミリアの超回復リボン	A																							
ルーミアのリボン	S																							
しあわせのリボン	B																							
空の融合リボン	B																							
雛の御守リボン	B																							
閻魔の改心リボン	B																							
メディスンの衰退リボン	B																							
大遠投のリボン	B																							
リリーのホワイトリボン	B																							
吸収のリボン	-																							
探知のリボン	-																							
萃香の頑強リボン	-																							
罠避けのリボン	-																							
category.arrow	60																							
大砲の弾	-																							
毒ナイフ	-																							
ミニ八卦炉	B																							
鉄の矢	C																							
category.scrool	240																							
慧音の歴史書	S																							
封書モンスターハウス	A																							
八咫烏の書	A																							
ダンジョン攻略本	A																							
バクスイの書	A																							
混乱の書	A																							
グリモワール	B																							
いかづちの書	B																							
電光石火の書	B																							
氷の書	B																							
解凍の書	B																							
メッキの書	B																							
天邪鬼の書	B																							
ワイルドカード	B																							
おにぎりの書	C																							
おはらいの書	C																							
パワーアップの書	C																							
識別の書	C																							
撒き餌の書	C																							
自爆の書	C																							
大部屋の書	C																							
敵倍速の書	C																							
破裂の書	C																							
明かりの書	C																							
罠師の書	-																							
人を殺せる書	-																							
切れ端	-																							
幻想郷縁起	-																							
category.staff	100																							
しあわせの杖	-																							
封印の杖	A																							
引き寄せの杖	A																							
いかづちの杖	B																							
氷の杖	B																							
無意識の杖	B																							
不幸の杖	B																							
金縛りの杖	B																							
倍速の杖	C																							
イカリの杖	C																							
悪魔の杖	C																							
一時しのぎの杖	C																							
影縛りの杖	C																							
回復の杖	C																							
場所替えの杖	C																							
吹き飛ばしの杖	C																							
鈍足の杖	C																							
ハイテンションの杖	C																							
category.pot	30																							
印の瓶	S																							
合成の瓶	B																							
変化の瓶	D																							
お祓いの瓶	D																							
識別の瓶	D																							
かき氷器	-																							
分裂の瓶	-																							
優勝者の瓶	-																							
category.disc	40																							
Disc	C																							
TRAP																								
デロデロの罠	70																							
ねむりの罠	100																							
