ClassName(Skill%);Name;HP;ATK;DEF;EXP;HoldingExplanation;floating;boating;Ghost;Fire;Ice;thunder;Magic;紅魔郷;妖々夢;永夜抄;花映塚;風神録;地霊殿;星蓮船;神霊廟;輝針城;番外伝;ATTACK_SE
NullEnemy(0%);f;30;20;8;30;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
;f;50;20;15;100;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
;f;60;20;20;700;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
;*NullEnemy*;999;255;255;9999;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
アリス(20%);ゴスンアリス;30;26;10;69;周りを麻痺状態にするぞ;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;ATTACK_SWORD
;ゴッスンアリス;60;43;15;800;周りを麻痺状態にするぞ;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;ATTACK_SWORD
;ゴゴッスンアリス;120;64;20;2100;周りを麻痺状態にするぞ;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;ATTACK_SWORD
;ゴゴゴゴアリス;150;93;25;3400;周りを麻痺状態にするぞ;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;ATTACK_SWORD
キスメ(0%);キスメ;1;1;1;1;f;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_HANDS
;キスメ;1;1;1;10;f;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_HANDS
;キスメ;1;1;1;100;f;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_HANDS
;*キスメ*;999;255;255;9999;f;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_HANDS
チルノ(0%);おてんばチルノ;17;10;10;9;部屋内にダメージを与えるぞ;f;f;f;f;true;f;f;true;true;f;true;f;f;f;f;f;f;ATTACK_HANDS
;さいきょーチルノ;99;55;15;1699;部屋内にダメージを与えるぞ;f;f;f;f;true;f;f;true;true;f;true;f;f;f;f;f;f;ATTACK_HANDS
;絶対可憐チルノ;199;129;20;4999;部屋内にダメージを与えるぞ;f;f;f;f;true;f;f;true;true;f;true;f;f;f;f;f;f;ATTACK_HANDS
;アチチルノ;299;149;25;9999;部屋内にダメージを与えるぞ;f;f;f;true;f;f;f;true;true;f;true;f;f;f;f;f;f;ATTACK_HANDS
ナズーリン(0%);凶暴ナズーリン;10;6;5;6;HPが半分以下の時、クリティカルや複数回攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;ATTACK_SPEAR
;殺人ナズーリン;55;20;15;150;HPが半分以下の時、クリティカルや複数回攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;ATTACK_SPEAR
;ものすごいナズーリン;99;34;20;900;HPが半分以下の時、クリティカルや複数回攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;ATTACK_SPEAR
;まももナズーリン;125;40;25;2100;HPが半分以下の時、クリティカルや複数回攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;ATTACK_SPEAR
にとり(0%);道具改造にとり;18;9;5;19;通常攻撃をするぞ;f;true;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_HANDS
;強改造にとり;60;43;18;270;通常攻撃をするぞ;f;true;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_HANDS
;超改造にとり;100;57;32;1460;通常攻撃をするぞ;f;true;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_HANDS
;魔改造にとり;116;61;40;2100;通常攻撃をするぞ;f;true;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_HANDS
パチュリー(20%);パパチュリー;45;24;5;113;杖を振るぞ;f;f;f;f;f;f;true;true;f;f;f;f;f;f;f;f;f;ATTACK_FIRE
;パオパチュリー;75;33;10;150;杖を振るぞ;f;f;f;f;f;f;true;true;f;f;f;f;f;f;f;f;f;ATTACK_FIRE
;パオパチュリーン;150;60;15;2600;杖を振るぞ;f;f;f;f;f;f;true;true;f;f;f;f;f;f;f;f;f;ATTACK_FIRE
;*パチュリー*;210;10;20;3010;杖を振るぞ;f;f;f;f;f;f;true;true;f;f;f;f;f;f;f;f;f;ATTACK_FIRE
パルスィ(30%);嫉妬パルスィ;15;8;5;10;周りの敵のMAXHPの半分のダメージを当たるぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SHOOT
;逆ギレパルスィ;70;50;10;1200;周りの敵のMAXHPの半分のダメージを当たるぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SHOOT
