ENEMY																											
1F																											
2F							ゆっくり霊夢	1	5																		
3F				リリーホワイト	1	5	ゆっくり霊夢	2	5	幽谷響子	1	5				リグルナイトバグ	1	5									
4F				リリーホワイト	1	5				幽谷響子	1	5	チルノ	1	5	リグルナイトバグ	1	5				パルスィ	1	5			
5F				リリーホワイト	1	5							チルノ	1	5							パルスィ	1	5			
6F				リリーホワイト	1	5	十六夜咲夜	1	5	幽谷響子	2	5	にとり	1	5							橙	1	5			
7F				二ッ岩マミゾウ	1	5	十六夜咲夜	1	5	幽谷響子	2	5	にとり	1	5	鍵山雛	1	5	東風谷早苗	1	5	橙	1	5	リリーホワイト	2	5
8F				二ッ岩マミゾウ	1	5	多々良小傘	1	5	ルーミア	1	5	犬走椛	1	5	物部布都	1	5	西行寺幽々子	1	5	橙	1	5	リリーホワイト	2	5
9F	村紗水蜜	1	5	ミスティア	1	5	多々良小傘	1	5	ルーミア	1	5	犬走椛	1	5	物部布都	1	5	西行寺幽々子	1	5	橙	1	5	リリーホワイト	2	5
10F	村紗水蜜	1	5	ミスティア	1	5	多々良小傘	1	5				犬走椛	1	5										リリーホワイト	2	5
11F	永江衣玖	1	3				霍青娥	1	5	宮古芳香	1	5	犬走椛	1	5				東風谷早苗	1	5	鈴仙・優曇華院・イナバ	1	3	リリーホワイト	2	5
12F	永江衣玖	1	3				霍青娥	1	5	宮古芳香	1	5	堀川雷鼓	1	2	黒谷ヤマメ	1	5	東風谷早苗	1	3	鈴仙・優曇華院・イナバ	1	3			
13F							霍青娥	1	5	宮古芳香	1	5	堀川雷鼓	1	2	黒谷ヤマメ	1	5	東風谷早苗	1	3	鈴仙・優曇華院・イナバ	1	3			
14F スキマ				藤原妹紅	1	5	聖白蓮	1	1				堀川雷鼓	1	3	パチュリー	1	5	東風谷早苗	1	5						
15F スキマ				八雲藍	1	5	アリス	1	5	メディスン	1	5	古明地さとり	1	5	射命丸文	1	5									
