ENEMY																											
1F				幽谷響子	1	2	ゆっくり霊夢	1	3																		
2F	リリーホワイト	1	3	幽谷響子	1	3	ゆっくり霊夢	1	3																		
3F	リリーホワイト	1	3	幽谷響子	1	3				リグルナイトバグ	1	3															
4F	リリーホワイト	1	3				チルノ	1	3	リグルナイトバグ	1	3				わかさぎ姫	1	3									
5F	リリーホワイト	1	3	大妖精	1	2	チルノ	1	3																		
6F				鍵山雛	1	3	幽谷響子	2	3	十六夜咲夜	1	3	にとり	1	3	わかさぎ姫	1	1									
7F				鍵山雛	1	3	幽谷響子	2	3	十六夜咲夜	1	3	にとり	1	3	わかさぎ姫	1	1									
8F				ルーミア	1	3				十六夜咲夜	1	3				わかさぎ姫	1	1									
9F	小悪魔	1	3	ルーミア	1	3	橙	1	3							宮古芳香	1	3									
10F	小悪魔	1	3				橙	1	3	多々良小傘	1	1	メディスン	1	3	宮古芳香	1	3							西行寺幽々子	1	3
11F							橙	1	3	多々良小傘	1	3	メディスン	1	3	宮古芳香	1	3				小悪魔	1	3	西行寺幽々子	1	3
12F				黒谷ヤマメ	1	3	アリス	1	3	多々良小傘	1	3							八雲藍	1	3	小悪魔	1	3			
13F	村紗水蜜	1	3				アリス	1	3										八雲藍	1	3						
ITEM																											
category.spellcard	240																										
チルノのカード	S																										
因幡てゐのカード	-																										
射命丸文のカード	-																										
博麗霊夢のカード	-																										
霧雨魔理沙のカード	-																										
少名針妙丸のカード	-																										
比那名居天子のカード	-																										
プリズムリバー三姉妹のカード	A																										
レミリアのカード	A																										
犬走椛のカード	A																										
八雲紫のカード	A																										
八雲藍のカード	B																										
寅丸星のカード	A																										
永江衣玖のカード	-																										
姫海棠はたてのカード	-																										
宮古芳香のカード	-																										
今泉影狼のカード	-																										
魂魄妖夢のカード	B																										
東風谷早苗のカード	B																										
秦こころのカード	-																										
黒谷ヤマメのカード	B																										
小野塚小町のカード	B																										
リグルのカード	B																										
ルーミアのカード	B																										
一輪雲山のカード	B																										
河城にとりのカード	B																										
古明地こいしのカード	B																										
古明地さとりのカード	B																										
四季映姫・ヤマザナドゥのカード	B																										
上白沢慧音のカード	B																										
星熊勇儀のカード	B																										
聖白蓮のカード	B																										
堀川雷鼓のカード	-																										
風見幽香のカード	B																										
伊吹萃香のカード	-																										
霍青娥のカード	-																										
朱鷺子のカード	-																										
紅美鈴のカード	-																										
鍵山雛のカード	-																										
アリスのカード	-																										
イナバのカード	-																										
キスメのカード	-																										
