ENEMY																											
1F 小さい							幽谷響子	1	5	リグルナイトバグ	1	5	パルスィ	1	5												
2F 小さい	ルーミア	1	5				西行寺幽々子	1	5	リグルナイトバグ	1	5	パルスィ	1	5	橙	1	5	物部布都	1	5						
3F 小さい 100%	ルーミア	1	5	二ッ岩マミゾウ	1	5	西行寺幽々子	1	5				宮古芳香	1	5	橙	1	5				メディスン	1	5			
4F 小さい 100%	古明地こいし	1	5	二ッ岩マミゾウ	1	5	ミスティア	1	5	アリス	1	5	宮古芳香	1	5	黒谷ヤマメ	1	5	霊烏路空	1	5	メディスン	1	5			
5F 小さい	八坂神奈子	2	5	村紗水蜜	2	5	寅丸星	2	5	今泉影狼	1	5	犬走椛	2	5	鍵山雛	2	5	霊烏路空	2	5	物部布都	2	5			
6F 小さい	八坂神奈子	2	5	村紗水蜜	2	5	寅丸星	2	5	今泉影狼	1	5	犬走椛	2	5	鍵山雛	2	5	霊烏路空	2	5	物部布都	2	5			
7F 小さい	八坂神奈子	2	5	蘇我屠自古	2	5	パチュリー	1	5				藤原妹紅	12	5				霊烏路空	2	5						
8F 小さい	多々良小傘	2	5	蘇我屠自古	2	5				パチュリー	2	5	藤原妹紅	12	5	伊吹萃香	2	5	霊烏路空	2	5	紅美鈴	2	5			
9F 小さい	多々良小傘	2	5	蘇我屠自古	2	5	パチュリー	1	5	パチュリー	2	5	藤原妹紅	13	5	伊吹萃香	2	5	霊烏路空	2	5	紅美鈴	2	5			
10F				黒谷ヤマメ	2	4	レティ	2	5	星熊勇儀	1	4	着物勇儀	1	1	伊吹萃香	2	5	霊烏路空	2	5	フランドール	1	5			
11F				黒谷ヤマメ	2	4	レティ	2	5	星熊勇儀	1	4	着物勇儀	1	1	伊吹萃香	2	5	霊烏路空	2	5	フランドール	1	5			
12F	古明地こいし	2	3	ナズーリン	2	5	レティ	2	5	鈴仙・優曇華院・イナバ	2	5	東風谷早苗	2	5	射命丸文	2	5	ミスティア	2	5	上白沢慧音	2	5	レミリア	1	5
13F	古明地こいし	2	3	ナズーリン	2	5	レティ	2	5	鈴仙・優曇華院・イナバ	2	5	東風谷早苗	2	5	射命丸文	2	5	ミスティア	2	5	上白沢慧音	2	5	レミリア	1	5
14F	古明地こいし	2	2	ナズーリン	2	5	ゆっくり霊夢	3	5	鈴仙・優曇華院・イナバ	2	5	東風谷早苗	2	5	射命丸文	2	5	鬼人正邪	1	5	上白沢慧音	2	5	霧雨魔理沙	1	4
15F	古明地こいし	2	2	多々良小傘	2	2	ゆっくり霊夢	3	5	鈴仙・優曇華院・イナバ	2	5	東風谷早苗	2	5	射命丸文	2	5	鬼人正邪	1	5	上白沢慧音	2	5	霧雨魔理沙	1	4
16F	古明地こいし	2	2	多々良小傘	2	2	ゆっくり霊夢	3	5	アリス	2	5				豊聡耳神子	2	2	鬼人正邪	1	5	上白沢慧音	3	5			
17F	古明地こいし	2	2	多々良小傘	2	2	ゆっくり霊夢	3	5	アリス	2	5				豊聡耳神子	2	2	鬼人正邪	1	5	上白沢慧音	3	5			
