ENEMY																											
1F 小さい				幽谷響子	1	2	ゆっくり霊夢	2	5																		
2F 小さい				幽谷響子	1	5	ゆっくり霊夢	2	5	リグルナイトバグ	1	5							リリーホワイト	1	3						
3F 小さい 100%				幽谷響子	1	5	ゆっくり霊夢	2	5	リグルナイトバグ	1	5	チルノ	1	5	パルスィ	1	5	リリーホワイト	1	3						
4F 小さい 100%	大妖精	1	1							リグルナイトバグ	1	5	チルノ	1	5	パルスィ	1	5							鍵山雛	1	5
5F 小さい							橙	1	5				チルノ	1	5	パルスィ	1	5							鍵山雛	1	5
6F 小さい	堀川雷鼓	1	2							十六夜咲夜	1	5	二ッ岩マミゾウ	1	5										鍵山雛	1	5
7F 小さい	堀川雷鼓	1	2	にとり	1	5				十六夜咲夜	1	5	二ッ岩マミゾウ	1	5	フランドール	1	5				犬走椛	1	5			
8F 小さい				にとり	1	5				十六夜咲夜	1	5				フランドール	1	5				犬走椛	1	5			
9F 小さい				紅美鈴	1	5				パチュリー	1	5	東風谷早苗	1	3	レティ	1	5	因幡てゐ	2	5	藤原妹紅	1	3	鍵山雛	1	3
10F				紅美鈴	1	5				パチュリー	1	5	東風谷早苗	1	3	レティ	1	5	因幡てゐ	2	5	藤原妹紅	1	3	鍵山雛	1	3
11F				紅美鈴	1	5				パチュリー	1	5	東風谷早苗	1	3	レティ	1	5	因幡てゐ	2	5	藤原妹紅	1	3	鍵山雛	1	3
12F				霧雨魔理沙	1	5	ゆっくり霊夢	3	2	洩矢諏訪子	1	5	東風谷早苗	2	3	八雲藍	2	5	レミリア	1	5	フランドール	1	5	聖白蓮	1	3
13F				霧雨魔理沙	1	5	ゆっくり霊夢	3	2	洩矢諏訪子	1	5	東風谷早苗	2	3	八雲藍	2	5	レミリア	1	5	フランドール	1	5	聖白蓮	1	3
14F				霧雨魔理沙	1	5	ゆっくり霊夢	3	2	洩矢諏訪子	1	5	東風谷早苗	2	3	八雲藍	2	5	レミリア	1	5	フランドール	1	5	聖白蓮	1	3
15F	紅美鈴	2	5	蘇我屠自古	2	2	ゆっくり霊夢	3	2	パチュリー	2	5	小悪魔	2	5	藤原妹紅	12	5	レミリア	1	5						
16F	紅美鈴	2	5	蘇我屠自古	2	2	ゆっくり霊夢	3	2	パチュリー	2	5	小悪魔	2	5	藤原妹紅	12	5	レミリア	1	5						
17F	紅美鈴	2	5	蘇我屠自古	2	2	ゆっくり霊夢	3	2	パチュリー	2	5	小悪魔	2	5	藤原妹紅	12	5	レミリア	1	5						
18F				蘇我屠自古	2	2	ゆっくり霊夢	3	2	因幡てゐ	3	5	アリス	2	5	鈴仙・優曇華院・イナバ	2	3	魂魄妖夢	2	5	犬走椛	2	5	聖白蓮	1	3
19F スキマ				蘇我屠自古	2	2	ゆっくり霊夢	3	2	因幡てゐ	3	5	アリス	2	5	鈴仙・優曇華院・イナバ	2	3	魂魄妖夢	2	5	犬走椛	2	5	聖白蓮	1	3
