ENEMY																											
1F 小さい				幽谷響子	1	2	ゆっくり霊夢	2	5																		
2F 小さい				幽谷響子	1	5	ゆっくり霊夢	2	5	リグルナイトバグ	1	5							リリーホワイト	1	3						
3F 小さい 100%	大妖精	1	1	幽谷響子	1	5	ゆっくり霊夢	2	5	リグルナイトバグ	1	5	チルノ	1	5	パルスィ	1	5	リリーホワイト	1	3						
4F 小さい 100%	大妖精	1	1	幽谷響子	2	5				リグルナイトバグ	1	5	チルノ	1	5	パルスィ	1	5							鍵山雛	1	5
5F 小さい	大妖精	1	1	幽谷響子	2	5							チルノ	1	5	パルスィ	1	5							鍵山雛	1	5
6F 小さい				小悪魔	1	5	西行寺幽々子	1	5	射命丸文	1	5										犬走椛	1	5			
7F 小さい				小悪魔	1	5	西行寺幽々子	1	5	射命丸文	1	5										犬走椛	1	5			
8F 小さい				紅美鈴	1	5	西行寺幽々子	1	5	射命丸文	1	5										犬走椛	1	5	鍵山雛	1	5
9F 小さい				紅美鈴	1	5	西行寺幽々子	2	5				東風谷早苗	2	3	レティ	1	5							鍵山雛	2	5
10F				霧雨魔理沙	1	5	西行寺幽々子	2	5				東風谷早苗	2	3	レティ	1	5							鍵山雛	2	5
11F				霧雨魔理沙	1	5	西行寺幽々子	2	5				東風谷早苗	2	3	レティ	1	5							鍵山雛	2	5
12F				霧雨魔理沙	1	5	ゆっくり霊夢	3	5	洩矢諏訪子	1	5	東風谷早苗	2	3	八雲藍	2	5	レミリア	1	5	フランドール	1	5	聖白蓮	1	3
13F				霧雨魔理沙	1	5	ゆっくり霊夢	3	5	洩矢諏訪子	1	5	東風谷早苗	2	3	八雲藍	2	5	レミリア	1	5	フランドール	1	5	聖白蓮	1	3
14F				霧雨魔理沙	1	5	ゆっくり霊夢	3	5	洩矢諏訪子	1	5	東風谷早苗	2	3	八雲藍	2	5	レミリア	1	5	フランドール	1	5	聖白蓮	1	3
15F	八雲紫	1	1	先代巫女	1	3	蘇我屠自古	2	3	射命丸文	2	5	古明地さとり	2	5				レミリア	1	5				聖白蓮	1	3
16F	八雲紫	1	1	先代巫女	1	3	蘇我屠自古	2	3	射命丸文	2	5	古明地さとり	2	5				レミリア	1	5				聖白蓮	1	3
17F	八雲紫	1	1	先代巫女	1	3	蘇我屠自古	2	3	射命丸文	2	5	古明地さとり	2	5				レミリア	1	5				聖白蓮	1	3
18F	八雲紫	1	1	霧雨魔理沙	2	5	蘇我屠自古	3	3	洩矢諏訪子	3	3	風見幽香	2	5				鈴仙・優曇華院・イナバ	3	3	犬走椛	2	5	鍵山雛	3	3
19F スキマ	八雲紫	1	1	霧雨魔理沙	2	5	蘇我屠自古	3	3	洩矢諏訪子	3	3	風見幽香	2	5				鈴仙・優曇華院・イナバ	3	3	犬走椛	2	5	鍵山雛	3	3
