category.spellcard
ミスティアのカード,S
犬走椛のカード,A
星熊勇儀のカード,B
藤原妹紅のカード,B
寅丸星のカード,B
リグルのカード,B
レミリアのカード,B
八坂神奈子のカード,B
蓬莱山輝夜のカード,B
橙のカード,B
河城にとりのカード,B
一輪雲山のカード,B
四季映姫・ヤマザナドゥのカード,B
封獣ぬえのカード,B
ルーミアのカード,C
黒谷ヤマメのカード,C
アリスのカード,C
パルスィのカード,C
フランドールのカード,C
キスメのカード,C
鍵山雛のカード,C
聖白蓮のカード,C
魂魄妖夢のカード,C
秋姉妹のカード,C
十六夜咲夜のカード,C
小野塚小町のカード,C
レティのカード,C
洩矢諏訪子のカード,C
火焔猫燐のカード,C
西行寺幽々子のカード,C
八意永琳のカード,C
紅美鈴のカード,D
ナズーリンのカード,D
メディスンメランコリーのカード,D
村紗水蜜のカード,D
多々良小傘のカード,D
霊烏路空のカード,D
category.grass
天使の草,A
しあわせ草,B
金縛り草,B
混乱草,B
睡眠草,B
毒草,B
すばやさ草,C
ちからの草,C
ドラゴン草,C
めぐすり草,C
胃拡張の種,C
胃縮小の種,C
高飛び草,C
毒消し草,C
不幸の草,C
命の草,C
妹切草,C
category.food
巨大なおにぎり,B
腐ったおにぎり,B
小さなおにぎり,C
大きなおにぎり,C
category.ring
会心のリボン,B
錆避けのリボン,C
遠投のリボン,C
覚醒のリボン,C
栄光のリボン,C
category.arrow
ミニ八卦炉,B
鉄の矢,C
大砲の弾,B
毒ナイフ,A
category.scrool
バクスイの書,B
困った時の書,B
混乱の書,B
いかづちの書,C
おはらいの書,C
パワーアップの書,C
メッキの書,C
自爆の書,C
大部屋の書,C
敵倍速の書,C
明かりの書,C
識別の書,C
category.staff
イカリの杖,C
不幸の杖,B
封印の杖,B
一時しのぎの杖,C
回復の杖,C
金縛りの杖,C
場所替えの杖,C
吹き飛ばしの杖,C
鈍足の杖,C
倍速の杖,C
category.pot
合成の壷,A
category.disc
Disc,C
